idALEC;V1;V2
A1;1;0
A2;1;0
A20;1;0
A3;0;1
A30;1;1
A31;1;1
A32;1;0
A4;1;0
A40;0;1
A41;1;1
A42;1;1
A43;1;0
A44;1;1
A5;1;0
A50;1;1
A51;1;1
A52;1;1
A53;1;1
A54;1;1
A55;1;1
A56;1;1
A6;1;1
A60;1;1
A61;1;0
A62;1;0
A63;1;1
Ar2;1;0
Ar3;1;0
At2;1;0
At3;1;0
At6;1;0
B1;1;1
B10;1;0
B11;1;0
B12;1;0
B13;1;0
B14;1;1
B15;1;0
B16;1;1
B4;1;0
B40;1;0
B6;1;1
Bo2;1;0
Bo3;1;1
Bo30;1;0
Bo31;1;0
Bo32;0;1
Bo4;1;0
Bo40;1;0
Bo41;1;0
Bo42;0;1
Bo43;1;0
Bo44;1;0
Bo45;1;0
Bo46;1;1
Bo47;1;0
Bo5;1;0
Bo50;1;0
Bo6;1;0
Bo60;1;0
C1;1;1
C2;0;1
C3;1;1
C4;0;0
C5;0;1
Ca1;0;0
Ca10;1;1
Ca2;0;1
Ca20;0;1
Ca21;1;1
Ca3;1;0
Ca30;1;1
Ca4;1;1
Ca40;0;1
Ce1;0;0
Ce2;1;0
Ce20;1;0
Ce3;1;0
Ce30;1;1
Ce4;1;0
Ce5;1;0
Ce50;1;0
Ch1;1;0
Ch10;1;0
Ch3;1;0
Ch30;1;0
Ch4;0;1
Ch5;1;0
Ch6;1;0
Ch60;0;1
Co1;1;0
Co10;1;0
Co11;1;0
Co2;1;0
Co3;1;0
Co30;1;0
Co4;1;0
Co40;1;0
Cq2;0;1
Cq3;1;0
Cs1;1;0
Cs3;0;1
Cs30;1;0
Cs31;1;0
Cs5;1;0
Cs6;1;0
Cu1;1;0
Cu10;1;0
Cu2;1;0
Cu20;1;0
Cu21;1;0
Cu3;1;0
Cu30;1;0
Cu31;1;0
Cu32;1;0
Cu33;0;0
Cu34;1;1
Cu4;1;0
Cu40;1;0
Cu41;1;0
Cu42;1;0
Cu43;0;0
Cu44;1;0
Cu45;1;0
Cu5;1;0
Cu50;1;1
Cu51;1;0
Cu52;0;0
Cu6;0;0
G3;1;0
G30;1;0
G31;1;1
G4;1;0
G40;1;0
G5;1;1
H2;0;1
H3;0;0
H30;0;0
H31;0;1
H4;1;1
H5;0;0
H50;1;1
M1;1;1
M2;0;0
M20;1;0
M21;0;1
M3;1;0
M30;1;0
M31;1;0
M4;1;0
Me1;1;0
Me10;1;0
Me2;1;1
N1;0;1
N3;0;1
N30;1;1
N31;0;1
N4;1;1
N40;1;1
N6;1;1
NS1;1;0
NS10;1;0
NS3;0;1
NS30;1;0
NS31;1;0
NS32;1;0
NS33;1;0
NS34;1;0
NS4;1;0
NS40;1;0
NS41;1;0
NS5;1;0
NS6;1;1
NS60;1;0
NS61;1;1
NS62;1;0
NS63;1;0
P1;1;0
Q1;0;1
R1;1;1
R3;0;1
R6;0;0
S1;1;1
S10;1;1
S11;1;0
S2;1;0
S3;1;0
S4;1;0
S40;1;1
S41;1;1
S42;1;1
S43;1;1
S44;1;1
S45;1;0
S5;1;0
S50;1;1
S51;1;0
S52;1;0
S6;1;0
S60;1;1
S61;1;0
Su1;0;0
Su10;1;1
Su2;1;0
Su3;1;1
Su4;1;0
Su6;1;0
T2;0;1
T20;1;0
T21;1;1
T22;1;1
T23;1;0
T3;0;0
T4;1;1
T40;1;1
T41;0;1
T42;1;0
T43;0;1
T44;0;0
T5;1;0
T50;1;0
T6;0;1
T60;1;0
V2;1;0
V20;1;0
V21;1;0
V3;1;0
V4;1;0
V40;1;0
V41;0;1
V42;1;1
V5;1;0
V6;1;0
V60;1;0
V61;1;0
V62;1;0
V63;0;1
