idALEC;V1;V2
A1;1;0
A2;1;0
A20;1;0
A3;1;0
A30;1;0
A31;1;0
A32;1;0
A4;1;0
A40;1;0
A41;1;0
A42;1;0
A43;1;0
A44;1;0
A5;1;0
A50;1;0
A51;1;0
A52;1;0
A53;1;0
A54;1;1
A55;1;0
A56;1;0
A6;1;0
A60;1;0
A61;1;0
A62;1;0
A63;1;0
Ar2;1;0
Ar3;1;0
At2;1;0
At3;1;0
At6;1;0
B1;1;0
B10;0;0
B11;1;0
B12;1;0
B13;1;0
B14;0;0
B15;1;0
B16;1;0
B4;1;0
B40;1;0
B6;1;0
Bo2;1;0
Bo3;1;0
Bo30;1;0
Bo31;1;0
Bo32;1;0
Bo4;1;0
Bo40;1;0
Bo41;1;0
Bo42;1;0
Bo43;1;0
Bo44;1;0
Bo45;1;0
Bo46;0;0
Bo47;1;0
Bo5;1;0
Bo50;1;0
Bo6;1;0
Bo60;1;0
C1;1;0
C2;1;0
C3;1;0
C4;1;0
C5;1;0
Ca1;0;1
Ca10;1;1
Ca2;0;1
Ca20;1;1
Ca21;0;0
Ca3;0;1
Ca30;1;1
Ca4;0;1
Ca40;0;1
Ce1;1;0
Ce2;1;0
Ce20;1;0
Ce3;1;0
Ce30;1;0
Ce4;1;0
Ce5;1;0
Ce50;1;0
Ch1;0;1
Ch10;0;1
Ch3;0;1
Ch30;0;1
Ch4;0;1
Ch5;0;1
Ch6;0;1
Ch60;0;1
Co1;1;0
Co10;1;0
Co11;1;0
Co2;1;0
Co3;1;0
Co30;1;0
Co4;1;0
Co40;1;0
Cq2;1;0
Cq3;1;0
Cs1;1;0
Cs3;1;0
Cs30;1;0
Cs31;1;0
Cs5;1;0
Cs6;1;0
Cu1;1;0
Cu10;1;0
Cu2;1;0
Cu20;0;0
Cu21;0;0
Cu3;1;0
Cu30;1;0
Cu31;0;0
Cu32;0;0
Cu33;1;0
Cu34;0;0
Cu4;0;0
Cu40;1;0
Cu41;1;0
Cu42;1;0
Cu43;1;0
Cu44;1;0
Cu45;1;0
Cu5;1;0
Cu50;1;0
Cu51;1;0
Cu52;1;0
Cu6;1;0
G3;1;0
G30;1;0
G31;1;0
G4;1;0
G40;1;0
G5;1;0
H2;1;0
H3;1;0
H30;1;0
H31;1;0
H4;1;1
H5;1;0
H50;1;0
M1;1;0
M2;1;0
M20;1;0
M21;1;0
M3;1;0
M30;1;0
M31;1;0
M4;1;0
Me1;1;0
Me10;1;0
Me2;1;0
N1;0;1
N3;0;1
N30;0;1
N31;0;1
N4;0;1
N40;0;1
N6;0;1
NS1;1;0
NS10;1;0
NS3;1;0
NS30;1;0
NS31;1;0
NS32;1;0
NS33;1;0
NS34;1;0
NS4;1;0
NS40;1;0
NS41;1;0
NS5;1;0
NS6;1;0
NS60;1;0
NS61;0;0
NS62;1;0
NS63;0;0
P1;0;1
Q1;1;0
R1;1;0
R3;1;0
R6;1;0
S1;1;0
S10;1;0
S11;1;0
S2;1;0
S3;1;0
S4;1;0
S40;1;0
S41;1;0
S42;1;0
S43;0;0
S44;1;0
S45;1;0
S5;1;0
S50;1;0
S51;1;0
S52;1;0
S6;1;0
S60;1;0
S61;1;0
Su1;1;0
Su10;1;0
Su2;1;0
Su3;1;0
Su4;1;0
Su6;0;0
T2;1;0
T20;1;0
T21;1;0
T22;1;0
T23;1;0
T3;1;0
T4;1;0
T40;1;0
T41;1;0
T42;1;0
T43;1;0
T44;1;0
T5;1;0
T50;1;0
T6;1;0
T60;1;0
V2;0;1
V20;0;1
V21;0;1
V3;0;1
V4;1;0
V40;0;1
V41;0;1
V42;1;1
V5;0;1
V6;0;1
V60;0;1
V61;0;1
V62;0;1
V63;0;1
