idALEC;V1;V2
A1;1;0
A2;1;0
A20;1;0
A3;0;0
A30;1;0
A31;1;0
A32;1;0
A4;1;0
A40;0;0
A41;1;0
A42;1;0
A43;1;0
A44;1;0
A5;1;0
A50;1;0
A51;1;0
A52;1;0
A53;1;0
A54;1;0
A55;1;0
A56;1;0
A6;1;0
A60;1;0
A61;1;0
A62;1;0
A63;1;0
Ar2;0;1
Ar3;1;0
At2;0;1
At3;0;0
At6;0;1
B1;1;0
B10;1;1
B11;1;0
B12;1;0
B13;1;0
B14;1;0
B15;1;0
B16;0;1
B4;0;1
B40;0;1
B6;0;1
Bo2;0;1
Bo3;0;1
Bo30;0;1
Bo31;0;1
Bo32;0;1
Bo4;0;1
Bo40;0;1
Bo41;0;1
Bo42;0;1
Bo43;0;1
Bo44;0;1
Bo45;0;1
Bo46;0;1
Bo47;0;1
Bo5;0;1
Bo50;0;1
Bo6;0;1
Bo60;0;1
C1;1;0
C2;1;0
C3;1;0
C4;1;0
C5;1;0
Ca1;1;0
Ca10;1;0
Ca2;1;0
Ca20;1;0
Ca21;1;0
Ca3;1;0
Ca30;1;0
Ca4;1;0
Ca40;1;0
Ce1;1;0
Ce2;1;1
Ce20;0;1
Ce3;1;1
Ce30;0;0
Ce4;0;1
Ce5;0;1
Ce50;1;0
Ch1;1;0
Ch10;1;0
Ch3;1;0
Ch30;1;1
Ch4;1;0
Ch5;1;0
Ch6;1;0
Ch60;1;0
Co1;0;0
Co10;0;0
Co11;0;0
Co2;0;0
Co3;1;0
Co30;1;0
Co4;1;0
Co40;1;1
Cq2;1;0
Cq3;1;0
Cs1;0;1
Cs3;0;1
Cs30;0;1
Cs31;0;1
Cs5;0;1
Cs6;0;1
Cu1;0;1
Cu10;0;1
Cu2;0;1
Cu20;0;0
Cu21;0;1
Cu3;0;1
Cu30;0;1
Cu31;0;1
Cu32;0;1
Cu33;0;1
Cu34;1;1
Cu4;0;1
Cu40;0;1
Cu41;0;1
Cu42;0;1
Cu43;0;1
Cu44;0;1
Cu45;0;1
Cu5;0;1
Cu50;0;1
Cu51;0;1
Cu52;0;1
Cu6;0;1
G3;0;1
G30;0;1
G31;0;1
G4;0;1
G40;0;1
G5;0;1
H2;0;1
H3;0;1
H30;1;0
H31;0;1
H4;1;1
H5;1;0
H50;1;0
M1;0;1
M2;1;0
M20;0;0
M21;0;1
M3;0;1
M30;0;1
M31;0;1
M4;1;1
Me1;0;1
Me10;0;1
Me2;1;0
N1;0;1
N3;1;1
N30;1;0
N31;0;1
N4;1;0
N40;0;1
N6;0;1
NS1;0;1
NS10;1;0
NS3;0;1
NS30;1;0
NS31;0;1
NS32;0;1
NS33;0;1
NS34;1;0
NS4;0;0
NS40;1;0
NS41;1;0
NS5;1;0
NS6;1;0
NS60;0;1
NS61;1;0
NS62;1;0
NS63;1;0
P1;0;1
Q1;1;0
R1;1;0
R3;1;0
R6;1;0
S1;1;0
S10;1;0
S11;1;0
S2;1;0
S3;1;0
S4;1;0
S40;1;0
S41;1;0
S42;0;1
S43;1;0
S44;0;1
S45;0;1
S5;1;0
S50;0;1
S51;0;1
S52;1;0
S6;0;1
S60;0;1
S61;0;1
Su1;1;1
Su10;0;1
Su2;0;1
Su3;0;1
Su4;0;1
Su6;0;1
T2;1;0
T20;1;1
T21;0;1
T22;0;1
T23;0;1
T3;0;1
T4;0;1
T40;0;1
T41;1;0
T42;0;1
T43;1;0
T44;1;0
T5;0;1
T50;0;1
T6;0;0
T60;0;1
V2;1;0
V20;1;0
V21;0;1
V3;1;0
V4;1;0
V40;1;0
V41;1;0
V42;1;0
V5;1;0
V6;1;0
V60;1;0
V61;1;0
V62;1;0
V63;1;0
