"idALEC";"V1";"V2"
"A1";1;0
"A2";1;0
"A20";1;0
"A3";1;0
"A30";1;0
"A31";1;1
"A32";1;0
"A4";0;1
"A40";1;0
"A41";1;0
"A42";0;1
"A43";1;0
"A44";1;0
"A5";0;1
"A50";1;1
"A51";1;0
"A52";1;0
"A53";1;0
"A54";1;0
"A55";1;0
"A56";1;1
"A6";1;1
"A60";1;0
"A61";1;0
"A62";1;0
"A63";1;0
"Ar2";0;1
"Ar3";0;1
"At2";1;0
"At3";0;1
"At6";1;0
"B1";1;0
"B10";1;0
"B11";1;0
"B12";1;0
"B13";1;0
"B14";1;0
"B15";1;0
"B16";1;0
"B4";1;0
"B40";1;0
"B6";0;1
"Bo2";1;0
"Bo3";0;1
"Bo30";0;0
"Bo31";1;1
"Bo32";1;0
"Bo4";0;0
"Bo40";1;1
"Bo41";0;1
"Bo42";1;0
"Bo43";0;0
"Bo44";1;1
"Bo45";0;1
"Bo46";0;1
"Bo47";0;1
"Bo5";0;1
"Bo50";0;0
"Bo6";0;1
"Bo60";0;0
"C1";1;0
"C2";1;0
"C3";1;0
"C4";1;0
"C5";0;1
"Ca1";0;0
"Ca10";0;0
"Ca2";0;1
"Ca20";1;0
"Ca21";1;1
"Ca3";0;1
"Ca30";1;0
"Ca4";1;0
"Ca40";1;0
"Ce1";1;0
"Ce2";1;0
"Ce20";1;0
"Ce3";1;0
"Ce30";1;0
"Ce4";1;0
"Ce5";1;0
"Ce50";1;0
"Ch1";0;0
"Ch10";0;1
"Ch3";1;0
"Ch30";1;0
"Ch4";0;1
"Ch5";1;0
"Ch6";0;1
"Ch60";0;1
"Co1";1;0
"Co10";0;0
"Co11";0;1
"Co2";0;1
"Co3";0;1
"Co30";0;1
"Co4";1;0
"Co40";1;0
"Cq2";1;0
"Cq3";1;0
"Cs1";0;1
"Cs3";0;1
"Cs30";1;0
"Cs31";1;0
"Cs5";0;1
"Cs6";0;0
"Cu1";0;0
"Cu10";0;1
"Cu2";0;1
"Cu20";0;1
"Cu21";0;1
"Cu3";0;1
"Cu30";0;1
"Cu31";1;0
"Cu32";1;0
"Cu33";0;1
"Cu34";1;1
"Cu4";0;1
"Cu40";0;1
"Cu41";0;1
"Cu42";0;1
"Cu43";1;0
"Cu44";0;1
"Cu45";0;0
"Cu5";0;1
"Cu50";1;0
"Cu51";1;0
"Cu52";0;1
"Cu6";1;1
"G3";1;0
"G30";1;0
"G31";1;0
"G4";1;0
"G40";1;0
"G5";1;0
"H2";1;1
"H3";0;0
"H30";1;0
"H31";1;1
"H4";1;0
"H5";1;1
"H50";0;1
"M1";1;0
"M2";1;0
"M20";1;0
"M21";0;0
"M3";0;0
"M30";1;0
"M31";1;0
"M4";1;0
"Me1";1;1
"Me10";1;1
"Me2";1;0
"N1";0;1
"N3";0;0
"N30";1;0
"N31";0;1
"N4";1;0
"N40";1;1
"N6";1;0
"NS1";0;1
"NS10";0;0
"NS3";0;1
"NS30";0;1
"NS31";0;1
"NS32";0;1
"NS33";0;1
"NS34";0;1
"NS4";0;1
"NS40";0;1
"NS41";0;1
"NS5";0;1
"NS6";0;1
"NS60";0;1
"NS61";0;1
"NS62";1;0
"NS63";1;0
"P1";1;0
"Q1";1;0
"R1";0;1
"R3";1;0
"R6";0;1
"S1";0;0
"S10";1;0
"S11";1;0
"S2";0;1
"S3";1;1
"S4";0;0
"S40";0;0
"S41";1;0
"S42";0;1
"S43";1;0
"S44";1;0
"S45";1;1
"S5";1;0
"S50";1;0
"S51";1;0
"S52";1;0
"S6";0;1
"S60";0;0
"S61";1;0
"Su1";1;0
"Su10";1;0
"Su2";1;0
"Su3";1;0
"Su4";1;0
"Su6";0;0
"T2";1;0
"T20";1;0
"T21";1;0
"T22";1;0
"T23";1;0
"T3";1;0
"T4";1;1
"T40";0;0
"T41";1;0
"T42";1;0
"T43";0;1
"T44";1;0
"T5";0;1
"T50";1;0
"T6";1;0
"T60";0;1
"V2";1;0
"V20";0;1
"V21";1;0
"V3";0;1
"V4";1;0
"V40";0;1
"V41";1;0
"V42";0;1
"V5";0;1
"V6";0;1
"V60";1;1
"V61";0;1
"V62";0;1
"V63";1;0
